Car_Age,Average_Price,Average_Mileage_per_Year
1,91580.83333333333,1383.8333333333333
2,86093.42920353982,2690.179203539823
3,68011.52542372882,5120.0847457627115
4,65286.374285714286,7090.034285714286
5,58277.8198757764,7010.360248447205
6,50307.07744107744,7612.46632996633
7,50670.16507936508,7318.837641723357
8,40554.88030888031,8747.541505791505
9,36538.60820895522,8600.789800995024
10,30571.859649122805,8222.806140350878
11,24069.276243093922,7980.846810647916
12,26574.79746835443,7562.504219409283
13,19336.801418439718,7590.386797599564
14,35028.66935483871,8199.50633640553
15,18706.55,6879.486
16,21413.916666666668,6433.589409722223
17,18648.964601769912,6444.612181155648
18,18715.632653061224,5679.880952380953
19,22743.39393939394,5908.071770334928
20,87680.58333333333,5606.249305555556
21,13791.933333333332,5824.203174603174
22,16462.836734693876,4803.2504638218925
23,14241.03125,4793.945652173913
24,14754.676470588236,4780.72794117647
25,13002.882352941177,5525.705882352941
26,12084.666666666666,4588.128205128205
27,12670.818181818182,4085.5454545454545
28,11611.0,5847.75
29,22437.375,4147.853448275862
30,25665.333333333332,3621.6666666666665
31,7539.857142857143,3275.3594470046082
32,22522.11111111111,3615.6354166666665
33,11500.0,3812.121212121212
51,115000.0,121.90196078431372
