brand,Average_Price,Car_Count,Average_Mileage
Acura,28034.078125,64,74823.703125
Alfa,37686.05263157895,19,26792.052631578947
Aston,115199.55555555556,9,19745.0
Audi,39907.43,200,57713.305
BMW,41072.30933333333,375,57200.99733333333
Bentley,137553.54545454544,33,29338.78787878788
Bugatti,1950995.0,1,6330.0
Buick,20357.666666666668,30,78928.5
Cadillac,41670.72897196261,107,71163.79439252337
Chevrolet,36722.739726027394,292,71292.81506849315
Chrysler,13812.785714285714,28,82521.42857142857
Dodge,34500.544444444444,90,88301.34444444445
FIAT,14799.6,5,52114.0
Ferrari,243790.66666666666,12,15067.0
Ford,36240.88082901554,386,72295.46113989638
GMC,37525.681318681316,91,77785.79120879121
Genesis,43279.9,20,18539.5
Honda,21959.031746031746,63,91255.77777777778
Hummer,19618.0625,16,132629.1875
Hyundai,18946.875,72,66143.98611111111
INFINITI,22927.64406779661,59,82025.79661016949
Jaguar,32362.72340425532,47,50592.936170212764
Jeep,31099.79020979021,143,66352.13986013985
Karma,53250.0,2,20880.0
Kia,28096.42105263158,76,49520.38157894737
Lamborghini,291233.8461538461,26,14405.384615384615
Land,55764.06153846154,130,57136.946153846155
Lexus,35668.52147239264,163,78124.0981595092
Lincoln,28330.884615384617,52,72107.90384615384
Lotus,54812.5,4,18500.0
Lucid,101966.33333333333,3,3250.6666666666665
MINI,14157.636363636364,33,72159.9696969697
Maserati,140582.5294117647,34,35974.617647058825
Maybach,64250.0,1,34254.0
Mazda,20011.0625,64,64679.890625
McLaren,213457.5,6,11477.166666666666
Mercedes-Benz,52075.76507936508,315,55646.61587301587
Mercury,14233.333333333334,3,89081.33333333333
Mitsubishi,17550.65,20,99450.3
Nissan,25905.120689655174,116,81856.62068965517
Plymouth,28500.0,1,22300.0
Polestar,35999.0,1,12172.0
Pontiac,13572.933333333332,15,83850.33333333333
Porsche,88751.29850746269,201,43569.800995024874
RAM,43029.16483516483,91,54288.72527472527
Rivian,93138.17647058824,17,2470.0
Rolls-Royce,370992.7272727273,11,18603.727272727272
Saab,10225.0,2,91600.0
Saturn,12379.0,5,79062.2
Scion,8832.166666666666,6,128509.0
Subaru,21495.15625,64,75869.890625
Suzuki,6900.0,1,99982.0
Tesla,48439.471264367814,87,35774.63218390805
Toyota,30026.0,199,85355.04020100503
Volkswagen,22067.966101694914,59,65410.16949152543
Volvo,26443.92105263158,38,77703.02631578948
smart,5000.0,1,61595.0
